foa-0001	permission final episode
1835490	information-based_models models for ad_hoc paper the_family family information-based_models models for ad_hoc_information_retrieval information retrieval models draw inspiration hypothesis fact difference behaviors word document collection levels information significance word for document hypothesis mixture_models models models burstiness can models
1835491	score_distribution_models distribution models assumptions intuition robustness score manipulation score_distribution score distribution relevant documents task for applications information_filtering information filtering meta-search distributed_ir distributed modeling_score_distributions score distributions accurate basis inference score_distribution_models score distribution models literature models basis empirical evidence work model score distributions basic assumption distribution terms document transformations term frequencies basic ranking_functions ranking functions language_models derive distribution for documents focus relevant documents analysis ranking_functions ranking functions model for precision-recall curves model present general mathematical_framework framework score_distribution score distribution for documents analytical formula for score_distribution score distribution relevant documents consistent precision-recall curves model gamma_distribution distribution for documents distribution for relevant documents gaussian_distribution distribution tail
1835493	geometric_representations representations for multiple_documents documents documents information_object information object effective approach for information_retrieval_tasks tasks example passages can document for retrieval document clusters documents feedback documents can query_model query model techniques for combination representation_techniques representation techniques concatenation arithmetic_mean arithmetic mean work potential representation_technique representation technique geometric_mean geometric mean studies theoretical explaining why geometric_mean geometric mean advantages for representing multiple_documents documents paper arithmetic_mean arithmetic mean geometric_mean geometric mean approximations center mass geometric_mean geometric mean center experiments tasks potential benefits for geometric_representations geometric representations pseudo-relevance_feedback feedback method techniques
1835494	statistical_decision_theory statistical decision theory relevance_models relevance models for query-performance_prediction prediction present framework for query-performance_prediction prediction task estimating effectiveness search response query relevance_judgments relevance judgments approach statistical_decision_theory statistical decision theory for estimating utility document_ranking document ranking respect information_need information need query address uncertainty information_need information need estimate utility similarity ranking relevance_models relevance models impact relevance_model relevance model its representativeness information_need information need predictors framework predictors corpora
1835495	active_learning learning for ranking expected_loss_optimization loss optimization learning_to_rank rank information_retrieval information retrieval applications ranging web_search_engine search engine online_advertising online advertising recommendation_system recommendation system learning_to_rank learning rank performance ranking_model ranking model number examples training_set training set hand examples for training_data training data need for active_learning active learning approaches select informative examples for ranking_learning ranking learning literature work address active_learning active learning for ranking paper general active_learning active learning framework expected_loss_optimization for ranking framework wide range ranking_functions ranking functions framework derive algorithm select informative examples query document active_learning active learning for algorithm query document selection active_learning active learning experiments real-world web_search search data_sets data sets potential framework_and_algorithms framework algorithms
1835497	image_search search concept_map concept map paper present image_search image search system image_search image search concept_map concept map system users semantic_concepts semantic concepts concepts distributed images image_search_interface image search interface enable users query concept_map concept map typing textual queries canvas spatial concepts ranking process textual concept set representative visual instances concept_map concept map query visual instance map evaluate relevance image database experimental_results results demonstrate effectiveness system
1835498	syntactic semantic models query_reformulation query reformulation present approach query_reformulation query reformulation syntactic_and_semantic_information syntactic semantic information generalized levenshtein_distance distance algorithms substitution costs probabilistic term rewrite functions unsupervised compact efficient models empirical evidence effectiveness explore generative_model generative model query_reformulation query reformulation combination methods performance variable costs properties similarity_measures similarity measures information-theoretic interpretations relations specification generalization
1835499	verbose_query query processing techniques long_queries queries small query stream web_search web search applications collaborative_question_answering collaborative question search_engines search keyword_queries keyword queries general effective for verbose_queries queries paper query_processing query processing techniques can verbose_queries queries search_engine search engine order search_engine search engine results focus verbose_queries queries structure simple questions search_engine search engine black_box box output search_engines search queries service results range techniques effective approach reduce length query can structure words process learning structure query can automated
1835501	supervised_experimental_design experimental design its application text_classification text classification active_learning active learning methods experimental_design experimental design performance text_classification text classification applications methods can exploit distribution unlabeled_data data support batch_selection batch selection can make use labeled_data data information for active_learning active learning paper active_learning active learning method for text_classification text classification supervised_experimental_design experimental design label_information label information experimental_design experimental design experimental_results results its label_information label information exploit distribution unlabeled_data data
1835502	algorithms for document_classification document classification information_retrieval information retrieval problems supervised_learning learning strategy first build classification_model classification model documents use model documents majority algorithms documents information practice document build classification_model classification model factors its timeliness its authors paper impact temporal_effects temporal effects impact order effects temporal weighting_function weighting function methodology for document_collections document collections methodology lognormal extend algorithms classifiers gains least matching algorithms
1835503	multilabel_classification classification meta-level features learning multi-label_classification multi-label classification abstraction for representing relationship instance categories methods focused instances ranked_lists lists categories high-dimensional_space high-dimensional space fine-grained features space expressive for patterns make model_complexity model complexity paper alternative approach representations instances categories small set meta-level features learning-to-rank retrieval algorithms feature_space feature space controlled_experiments experiments benchmark datasets empirical evidence for strength approach methods logistic_regression for multi-label_classification
1835505	statistical_translation statistical translation models mutual_information information for ad_hoc_information_retrieval information retrieval approach capturing semantic_relations semantic relations words information_retrieval information retrieval statistical_translation statistical translation models simple document language models exact_matching matching words query documents challenge translation_models translation models ad_hoc_information_retrieval information retrieval estimate translation_model translation model training_data training data work training synthetic_queries synthetic queries document_collection document collection method coverage query words paper alternative way estimate translation_model translation model mutual_information information words coverage query words synthetic query method estimation translation_probabilities translation probabilities probability mass for results estimation_method estimation method efficient effective synthetic query-based method can pseudo-relevance_feedback feedback retrieval_accuracy retrieval accuracy results regularization strategy effective can retrieval_accuracy retrieval accuracy for synthetic query-based estimation estimation
1835506	diversification for keyword search structured databases keyword_queries queries structured databases interpretation keyword_query keyword query can users multiple_interpretations interpretations yield overlapping results paper scheme balance relevance novelty keyword_search keyword search results structured databases present probabilistic_model probabilistic model interpretations keyword_query keyword query structured_data structured data scheme search_results search results re-ranking query interpretations account redundancy query results adaptation metrics account graded_relevance relevance subtopics evaluation real-world datasets search_results search results diversification algorithms answers database results relevance_ranking relevance ranking
1835507	support sentences for entities study problem sentences explain relationship named_entity entity ad-hoc query entity support sentences entity_ranking entity ranking knowledge paper first formalization problem can present evaluation dataset methods rank sentences traditional bag-of-words models match entity query sentence find support sentence for entities can small windows context sentences ranking
1835508	probabilities for effective data fusion data_fusion combination number independent search_results search results same document_collection document collection result user number probabilistic_data_fusion probabilistic data fusion models effective empirical_studies empirical studies estimate probability documents will relevant training_data training data little gauge accuracy affect fusion performance focus paper accurate estimation probability relevance results effective data fusion effective approximation probability can training_data training data observation distribution_of_relevant_documents distribution relevant documents pattern result sets curve_fitting fitting can simple function complex models use ir_evaluation evaluation metrics substitution for probability calculations mean_average_precision demonstrate effectiveness approach evaluation results competitive performance algorithms requirements for training_data training data
1835510	behaviors click_model click model work model user click-through_behavior click-through behavior mining click_logs click logs task position bias problem click_models click models problem document_relevance document relevance estimation estimation need model can capture user_behaviors user behaviors clicking search result user behavior dwell_time dwell time document clicks document can relevance document measures click_models click models paper click_model click model click_model click model unbiased estimation document_relevance document relevance click behaviors search page behaviors search page model bayesian_approach approach its incremental nature scalable large_scale large scale log_data log data experimental_results experimental results method the_state_of_the_art state art methods click_logs click logs
1835511	interactive_retrieval retrieval faceted_feedback faceted feedback faceted_search faceted search interface e-commerce paper interactive_relevance_feedback interactive relevance feedback mechanism faceted document_metadata document metadata mechanism system group document users select relevant restrict documents recommendation approaches retrieval_models retrieval models user_feedback user feedback document_facets document facets user_feedback user feedback amazon_mechanical_turk experimental_results experimental results boolean_filtering filtering approach faceted_search faceted search e-commerce work for text_document text document retrieval incompleteness recall metadata assignment semi-structured text_documents text documents soft model faceted_feedback faceted feedback mechanism can relevance_feedback relevance feedback pseudo_relevance_feedback relevance feedback retrieval_performance retrieval performance
1835512	comparison general affective models for prediction topical_relevance relevance information_retrieval_systems retrieval systems face number challenges semantic gap problem implicit_feedback feedback techniques past address issues step direction need tailor search experience needs study affective models facial_expression expression data data adapt models individual users performance general_model general model goal differences users impact models ability topical_relevance relevance can accuracy modelling relevance extract set_of_features set features facial_expression expression data support_vector_machines evaluation accounting for individual_differences individual differences personalisation improvement models performance
1835513	web_browsing web browsing behaviors weibull_analysis analysis dwell_time dwell time dwell_time time web_pages pages for information retrieval tasks basic questions distribution model distribution dwell times web_page page distribution browsing_behaviors browsing behaviors paper draw analogy page web_browsing browsing system_failure system failure reliability_analysis reliability analysis model dwell_time dwell time weibull_distribution distribution distribution real_world real data patterns user_browsing user browsing behaviors example analysis web_browsing browsing general exhibits negative aging screening page detail browsing_behavior browsing behavior call demonstrate dwell_time dwell time distributions can low-level page features applications study situations log_data log data
1835515	questions effective question_retrieval question retrieval services question_retrieval question retrieval models work questions community-based_question_answering question services for queries bag-of-word representations handle questions contexts questions retrieval_system retrieval system user information_needs information needs fetch fragments questions_and_answers questions answers archive relevant user query paper graph_based graph approach segmenting questions results user_studies user studies segmentation_model segmentation model traditional systems question_segmentation question segmentation user satisfaction segmentation_model segmentation model question_retrieval question retrieval framework for question_matching question matching empirical_evaluation empirical evaluation results demonstrate segmentation question_retrieval question retrieval performance mean_average_precision model question detector lexical syntactic_features syntactic features
1835516	blogosphere for top_news_stories_identification top news stories identification analysis query_logs query logs blog_search blog search queries logs research question blogosphere can news stories paper present approaches news story headlines blogosphere for system components language_model language model framework query likelihood news query likelihood approaches estimate query_language_model query language model news language_model language model criteria evaluate news belief importance news for experimental_results results system baseline system approach result identification_task
1835517	opinion_retrieval opinion retrieval post opinion_retrieval opinion retrieval blog posts relevant user query paper simple probabilistic_model probabilistic model for relevant opinion documents key problem capture opinion expressions document query topic solutions general opinion opinion pseudo-relevance_feedback feedback corpora collection paper use general opinion_lexicon opinion lexicon proximity information order capture opinion term relatedness query opinion propagation method opinion density point document opinion density position query_term query term document can probability opinion query_term query term position effect kernels for capturing proximity experimental_results results dataset method improvement standard baselines increase blog track
1835518	predicting answer_quality answer quality community question_answering traditional querying information precise form document list documents services information pose information_need information need questions answers users question answers multiple_users users community can answer can information way quality information present study evaluate predict quality answer yahoo!_answers service small set questions least answers amazon_mechanical_turk quality answer for question criteria answer assessments rating answer quality_criteria quality criteria match perception quality answer investigation features questions answers users training number classifiers select answer features demonstrate predictability models relative features for prediction models support argument case contextual_information contextual information user profile can critical predicting content_quality content quality
1835520	near-duplicate_detection near-duplicate detection via similarity_learning similarity learning paper present near-duplicate_document_detection near-duplicate document detection method can for domain method document sparse gram vector weights optimize for similarity_function similarity function cosine_similarity cosine similarity jaccard_coefficient coefficient near-duplicate_documents documents can similarity_measure similarity measure vectors can small number document_signatures document signatures locality_sensitive_hashing locality sensitive hashing scheme for efficient similarity_computation similarity computation demonstrate approach target domains web_news_articles news email_messages email messages method accurate methods consistent improvement domains property methods
1835521	content_based content approach for anchor_text anchor text for web_search web search anchor_text anchor text information for web_search web search large web_pages web pages hyperlinks anchors anchor_text_sparsity anchor text sparsity problem paper language_modeling language modeling technique for anchor_text_sparsity anchor text sparsity web_page web page anchor_text anchor text its web_pages web pages anchor_text anchor text design_experiments design experiments web_corpora web corpora evaluate approaches for anchor_text anchor text experimental_results results approach can discover anchor terms use the_web web page task track explore utility anchor_text anchor text information approach for retrieval experimental_results results approach can retrieval_performance retrieval performance approaches use anchor_text anchor text the_web web graph
1835522	social social_honeypots social honeypots machine_learning machine learning social systems enable opportunities for participants share community value services like search advertising content malware effort community value success evaluate approach for social online social systems key components approach deployment social_honeypots social honeypots for harvesting spam profiles social_networking_communities social networking communities analysis properties spam profiles for spam classifiers filter conceptual_framework conceptual framework design_considerations design approach present concrete observations deployment social_honeypots social honeypots find social_honeypots social honeypots social low_false_positive_rates false positive spam data signals observable profile features content friend information posting patterns profile features machine_learning machine learning classifiers for precision false_positives false
1835524	trailfinding algorithms for enhanced_web_search web search search_engines ranked_lists lists web_pages pages response queries pages starting_points points for navigation for search_tasks search tasks search_trails trails toolbar logs query pages user navigation trails can result_ranking result ranking trails ranking worth trail information users paper benefit users methods for trail for query result relevance topic_coverage topic coverage topic diversity utility trails methods break factors query type relevance demonstrate value trails highlight differences performance trailfinding algorithms can find for query trails users implications for web_information information trails
1835525	context-aware_ranking ranking web_search web search context search_query search query search_engine search engine hints for query studies context-aware_search context-aware search focused development context_models context models small scale investigation laboratory context-aware_ranking context-aware ranking for web_search search following critical problems can types contexts ranking can integrate context_information context information ranking_model ranking model paper problems ranking principles for types contexts adopt learning-to-rank approach integrate ranking principles ranking_model ranking model encoding context_information context information features model test approach large search_log search log data_set data set commercial_search_engine commercial search engine evaluation human_judgments human judgments implicit user click_data click data experimental_results experimental results context-aware_ranking context-aware ranking approach ranking commercial_search_engine commercial search engine context_information context information method baseline method context_information context information ranking
1835526	quality overlapping_labels overlapping labels low_cost cost paper studies quality human labels train search_engines search focus is_performance performance overlapping relevance_labels relevance labels collecting human_judgments human judgments for training_sample training sample paper for overlapping training labels labels per sample selective labeling_scheme labeling scheme labels for subset training_samples training for relevant experiments labeling_scheme labeling scheme web_search search real-world test_sets test sets labeling overhead labels per sample labeling_scheme labeling scheme methods overlapping_labels overlapping labels simple majority_vote majority labels paper study overlapping_labels overlapping labels improvement retrieval_accuracy retrieval accuracy
1835528	multi-style_language_model language model for web_scale web scale information_retrieval information retrieval web_documents documents associated text_streams text streams body authors anchor_text anchor text search queries documents large_scale large scale analysis cross_entropy entropy text_streams text streams language styles warrant language_models language models properties language_modeling_approach language modeling approach web_document document retrieval document mixture_model model components text_streams text streams associated document issues for mixture_model model text_streams text streams present for documents share same lexicon making statistics components address issues smoothing_technique smoothing technique component language_models language models same cardinality can approach can cope web_scale scale applications model_training model training algorithm labeled_data data can automated heuristics empirical parameter evaluation web_document document ranking tasks component language_models language models degrees capabilities cross-entropy analysis mixture_model model bm25f_based system
1835529	self-training for multilingual_text multilingual text categorization problem learning document classifiers multilingual collections labels partially_available address problem framework multiview learning languages views same document semi-supervised_learning semi-supervised learning order benefit documents techniques self-training multiview semi-supervised_learning semi-supervised learning approach trains monolingual classifiers views classifiers decisions set unlabeled_examples examples agreement labels examples unlabeled_training_set training set consensus classifiers derive training_algorithm training algorithm for task analyze impact number views semi-supervised_learning semi-supervised learning results multilingual extension corpus languages experiments self-training complementary combination effective situation views languages documents
1835530	text_clustering text clustering practice single_clustering clustering dataset text_documents text documents can clustered dimensions traditional text_clustering text clustering algorithms multiple_clusterings dataset clustering user desires paper simple active_clustering active clustering algorithm multiple_clusterings same data user_interest user interest comparison work clustering user_feedback user feedback algorithm minimal fact feedback simple list words experimental_results results system dimensions text_classification text classification tasks evidence approach
1835532	english summaries for readers paper problem multi-document_summarization multi-document summarization extract summary for readers summarization_systems summarization systems extract same summaries news documents for native readers readers reading skills education_and_learning education learning backgrounds summary can native readers readers add dimension reading_easiness reading difficulty multi-document_summarization multi-document summarization system can summaries reading skills readers reading_easiness reading difficulty svm_regression regression method reading score sentence summarization_process summarization process empirical_evaluation evaluation user_study user study results demonstrate system can summaries for readers summarization_systems summarization systems little summary informativeness
1835533	visual_summarization summarization web_pages web pages visual_summarization summarization attractive scheme summarize web_pages web pages can help user_experience user experience search re-finding tasks users idea the_web web page users recall web_page web page paper study visual_summarization visual summarization approaches thumbnail the_web web page snapshot internal image the_web web page representative content page visual snippet image_based image internal image logo web_page web page internal image_based image summarization_approach summarization approach representative internal images strategy representative_image representative image summarize the_web web page experimental_results experimental results summarization approaches advantages types web_pages web pages internal images thumbnails can reliable summarization web_pages web pages images web_pages web pages simple structure images information complement internal images users understanding web pages visual snippet re-finding tasks logo web_pages web pages
1835534	test_statistics test statistics for retrieval_evaluation retrieval evaluation experiments attractive methodology for retrieval functions implicit_feedback implicit feedback blind unbiased test for eliciting preference retrieval functions ranking results retrieval functions users users click results retrieval_function retrieval function interleaving experiments retrieval functions naive approach counting clicks suboptimal test present methods for learning score types clicks test statistic statistical_power statistical power experiment can data for reaching target confidence methods search_engine search engine collection scientific
1835536	query_similarity similarity graph measure similarity queries difficult problem reliable measure can variety applications query_recommendation query recommendation query_expansion query expansion advertising paper exploit information present query_logs query logs order measure semantic_similarity semantic similarity queries approach concept graph graph aggregates query_reformulations query users nodes graph queries queries same search_goal search goal query_similarity query similarity measure graph euclidean_space space experiments measure semantic_similarity semantic similarity queries for query recommendations
1835537	demographics web_search web search the_web web search_behavior search behavior rich poor people women click results for same query queries questions address study research data query_log query log web_search_engine web search engine profile_information profile information its users gender code information demographic information code combination can query average code simple combination user_modeling user modeling tool contributions work following demographic description large sample search_engine search engine users distribution population segments population search_behavior search behavior respect queries click explore applications methodology web_search_relevance web search relevance query_suggestions query suggestions results enable wide range applications web_search web search advertising for instance advertisements for family vacations
1835538	user_behavior_model user behavior model for average_precision average precision its generalization judgments explore set hypothesis user_behavior user behavior average_precision metric realistic version users click relevant documents number relevant documents collection needs assumption document relevant use relevance_judgment relevance judgment editorial labels for discounted_cumulated_gain documents users utility user search utility query_logs query logs commercial_search_engine commercial search engine evaluate utility associated label record past user_interactions user interactions search_engine search engine user_models user models can ability predict future clicks user_models user models measure relative quality
1835540	effect assessor_error error ir_system system evaluation efforts test_collection test collection building focused scaling number relevance_judgments relevance judgments scaling number search topics variation experiment topics approach topic set researchers crowdsourcing mechanical_turk collect relevance_judgments relevance judgments issues quality_control quality control paper robustness million_query_track track methods assessors make errors find robust errors can large effect system
1835541	test_collections test collections experimental_design experimental design reusable test_collections test collections vital research_and_development research development information_retrieval information retrieval difficult standard approach judgment collection groups systems systems large set relevance_judgments relevance judgments draw simulation test_collections test collections adapt corpora will judgments for simulation_experiments simulation experiments methodology for information_retrieval information retrieval experimentation evidence for reusability test_collection test collection judgments methodology statistical analyses researchers will estimate reusability test_collections test collections building course corrections collection seem levels reusability robustness design variance description implementation framework for large test collection
1835542	user_preferences user preferences evaluation_measures evaluation measures line paper results user_preference user preference for search_engine search engine measures_of_effectiveness measures effectiveness test_collection test collection preferences evaluation_measures evaluation measures systems test_collection test collection users correlation for web_retrieval web retrieval for retrieval results measure user_preferences user preferences selection measures studies area examination large population users crowd_sourcing crowd sourcing wide range retrieval_systems retrieval systems test_collections test collections search_tasks search tasks for user_preferences user preferences work number results scope for future work refining effectiveness_measures effectiveness measures capture user_preferences user preferences
1835544	tail_queries tail queries for sponsored_search search sponsored_search search revenue for search_engines search world_wide_web ads for query revenue ads poor user_experience user experience revenue long-term search_engines search interest place ads for queries algorithms for estimating query literature methods for head queries query frequencies search_engine search engine distributed power-law leaves queries paper focus problem estimating query for tail queries methods head queries for tail_queries tail queries unique estimation_method estimation method online inexpensive methods apply tail_queries tail queries for scenario work simple effective approach estimates query words present queries evaluate approach real-world dataset search_engine_queries search engine queries user_clicks user clicks results simple approach complex regression
1835545	reductions for web queries long_queries queries form difficult segment for web_search_engines web search query_reduction reduction technique for dropping query terms long_queries queries performance ad-hoc_retrieval ad-hoc retrieval collections potential for web queries improvement query_reduction query reduction web accurate query_performance query performance predictors constraints search_engine search engine architectures ranking_algorithms ranking algorithms paper present query_reduction query reduction techniques for web queries leverage effective efficient query performance predictors learning predictors automatic query reduction enable trading average for number queries enable integration search_engine search engine architecture for query_reduction query reduction large_collection large collection long_queries queries commercial_search_engine commercial search engine techniques baselines improvement set queries result interleaving results find techniques consistent retrieval gains web queries
1835546	positional_relevance_model relevance model for pseudo-relevance_feedback feedback pseudo-relevance_feedback feedback effective technique for retrieval results feedback algorithms use feedback document unit extract words for query_expansion query expansion optimal document cover topics information paper study select feedback documents words focused query topic terms feedback documents positional_relevance_model positional relevance model address problem unified probabilistic way extension relevance_model relevance model exploit term proximity weights words query words intuition words query words query topic methods estimate sampling processes results large retrieval datasets effective robust for pseudo-relevance_feedback feedback relevance_model relevance model feedback passage-based_feedback feedback
1835548	route measuring value search_trails search trails web_logs web logs search_trails trails browser toolbar logs queries pages users visit trails can for search_result_ranking search result ranking presence page trail its query_relevance query relevance search trail user effort little benefit users activity search result jumping page trail paper present log-based study estimating user_value user value trail_following trail following relevance topic_coverage topic coverage topic diversity novelty utility trails trail landing_pages pages trail destinations pages trails demonstrate value users following trails for query_types query types implications for design search systems trail recommendation_systems recommendation systems display trails search result pages
1835549	human_performance performance retrieval_precision retrieval precision studies approach evaluation can report performance_differences performance differences retrieval_systems retrieval systems for little performance difference for humans tasks systems revisit relationship precision performance measuring human_performance human performance search_tasks search tasks user_interfaces user interfaces interaction find human_performance human performance retrieval_precision retrieval precision find users change relevance judging behavior precision results change behavior perfect agreement can reduce performance gains precision
1835550	average_precision average precision graded_relevance relevance judgments evaluation_metrics metrics play critical role context comparative_evaluation comparative evaluation performance retrieval_systems retrieval systems context learning-to-rank objective_functions objective functions optimized evaluation_metrics evaluation metrics literature average_precision average precision number properties measures average_precision average precision graded_relevance relevance work measure retrieval_effectiveness retrieval effectiveness average_precision average_precision average precision case relevance characteristics probabilistic interpretation area precision-recall_curve precision-recall curve can terms simple user_model user model evaluate terms its informativeness power can objective metric learning_to_rank learning rank optimizing for ranking_functions ranking functions algorithms optimize for test_metrics test metrics
1835551	score metric for recall-oriented_information_retrieval information retrieval applications information_retrieval retrieval evaluation measure effectiveness relevant documents for purpose focused aspects precision_and_recall precision recall importance practice attention precision focused metrics for tasks importance patent_retrieval patent retrieval precision_based evaluation_measures evaluation measures study evaluation_measures evaluation measures for patent_retrieval patent retrieval task limitations systems for task evaluation_metric evaluation metric for type application account recall user search effort behaviour patent_retrieval patent retrieval track analysis performance its suitability for measuring retrieval_effectiveness retrieval effectiveness systems recall focused perspective_taking perspective account user search effort
1835553	classifier for web_video_classification web video classification growth online_videos online videos automatic real-time categorization web_videos videos key role for organizing browsing retrieving videos work text_features text features content_features content features videos for web_video_classification video classification content_features content features for real-time_video real-time video classification paper video_classification video classification framework exploit content text_features text features for video_classification video classification avoiding computation content_features content features classification time idea approach content_features content features training_data training data text_based semantic_kernels semantic kernels semantic_kernels semantic kernels semantic_kernels semantic kernels enable content text_features text features for classifying videos content_features content features experimental_results experimental results approach video_classification video classification methods
1835554	audio_identification audio identification for popular_music popular music audio_identification identification via fingerprint active research field wide applications for technical papers commercial software_systems software systems methods work raw audio format spite fact format audio music grown way store personal_computers personal computers audio fragment database procedure far algorithms compressed_domain domain for music_information_retrieval music information retrieval coefficients energy type features first paper spectral entropy audio feature audio_fingerprinting audio fingerprinting algorithm songs music_database music database query first coefficients intermediate_result intermediate result grouping coefficients frequency lines frequency_distribution frequency distribution windows subbands cover frequency bandwidth popular songs windows spectral entropy come final fingerprint sequence relationship_modeling relationship modeling fingerprints exhibit robustness audio signal like noise interference echo equalization filtering pitch_shifting pitch time-scale modification query examples average retrieval_precision retrieval precision can test_data_set test data set popular songs
1835555	music tagging statistical_modeling statistical modeling music_information_retrieval information retrieval technology for managing large music archives key components music tagging systems adopt simple classification_approach classification approach apply machine_learning_classifiers machine learning classifiers acoustic features poor accuracy evaluation results associated analysis large_scale large scale datasets incomplete content_representation content representation multimodal temporal_information temporal information integration paper system multimodal temporal_information temporal information representation music signal multilayer architecture classification framework gaussian_mixture_models support_vector_machine framework structure information accurate robust tagging results large music collections highlight advantages multilayer framework state_of_the_art state art techniques
1835556	weighted data_fusion data fusion information_retrieval systems leverage retrieval experts weighting_scheme weighting scheme combining expert results data_fusion data fusion query will query images weights large number potential weights approaches hierarchy for data_fusion data fusion combining query image results retrieval expert list weighting results expert paper will demonstrate approach poor state performance benchmarking evaluations optimization_method optimization method discover optimal set weights difference results theoretical maximum find combinatorial hierarchies for data_fusion data fusion will optimal_performance optimal performance can optimal weight sets topic weights set for query weight mass for topic discover ideal distribution weights log-normal_distribution log-normal distribution find can performance optimized query weights investigation evaluations search topics optimized collection_size collection size images topic images
1835558	translate translate query_translation translation task cross-language_information_retrieval cross-language information retrieval aiming translate queries languages documents purpose paper necessity query terms term terms cause performance drop approach estimate translation_probability translation probability query_term query term approach regression classification_models classification models rich set linguistic statistical properties term tasks demonstrate approach can performance analysis for impact out-of-vocabulary query terms translation_quality translation quality query terms performance
1835559	english hand paper present approach pseudo-relevance_feedback key idea multilinguality query language help language problems expansion terms co-occurrence relationships query terms terms morphological variants synonyms sensitive quality top documents robust query language language collection language resultant feedback_model feedback model final feedback_model feedback model combining model feedback_model feedback model query standard collections languages characteristics language robust consistent languages analysis results second_language language co-occurrence conceptual terms terms use second_language language collection sensitivity performance retrieval making robust
1835560	sensitivity information_retrieval information retrieval metrics information_retrieval retrieval effectiveness measures normalized_discounted_cumulative_gain mean_average_precision cutoff set queries research alternative information_retrieval_systems information retrieval systems user_behavior user behavior experiments track user_clicks user clicks study interleaving experiments can large differences retrieval_effectiveness retrieval effectiveness reliability methods study interleaving detail traditional measures terms reliability sensitivity agreement small differences retrieval_effectiveness retrieval effectiveness reliable outcome standard metrics queries reliable interleaving user impressions traditional measures correlation interleaving present forms analysis approach interleaving sensitivity
1835562	partial-duplicate_detection partial-duplicate detection sequence_matching sequence matching growth the_internet copies documents problem for search_engine search engine opinion_mining opinion mining web_applications web applications small text near-duplicate_detection near-duplicate detection approaches focus document partial duplicates can paper algorithm partial-duplicate_detection partial-duplicate detection task documents algorithm can idea partial-duplicate_detection partial-duplicate detection task sentence_level sentence near-duplicate_detection near-duplicate detection sequence_matching sequence matching evaluation method approaches chinese_web web collections experimental_results results support method large web collections
